127.0.0.1 - - [27/Nov/2015:09:27:42 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [27/Nov/2015:09:27:46 -0500] "GET /ArtAuction/ HTTP/1.1" 200 2982
0:0:0:0:0:0:0:1 - - [27/Nov/2015:09:27:46 -0500] "GET /ArtAuction/css/bootstrap.min.css HTTP/1.1" 200 117309
0:0:0:0:0:0:0:1 - - [27/Nov/2015:09:27:46 -0500] "GET /ArtAuction/css/heroic-features.css HTTP/1.1" 200 489
0:0:0:0:0:0:0:1 - - [27/Nov/2015:09:27:46 -0500] "GET /ArtAuction/js/jquery.js HTTP/1.1" 200 95788
0:0:0:0:0:0:0:1 - - [27/Nov/2015:09:27:46 -0500] "GET /ArtAuction/js/bootstrap.min.js HTTP/1.1" 200 35957
0:0:0:0:0:0:0:1 - - [27/Nov/2015:09:27:51 -0500] "GET /ArtAuction/login.jsp HTTP/1.1" 200 1457
0:0:0:0:0:0:0:1 - - [27/Nov/2015:09:27:51 -0500] "GET /ArtAuction/css/bootstrap.css HTTP/1.1" 200 148206
0:0:0:0:0:0:0:1 - - [27/Nov/2015:09:27:51 -0500] "GET /ArtAuction/css/Custom.css HTTP/1.1" 200 2919
0:0:0:0:0:0:0:1 - - [27/Nov/2015:09:27:51 -0500] "GET /ArtAuction/auction.png HTTP/1.1" 200 198070
0:0:0:0:0:0:0:1 - - [27/Nov/2015:09:28:03 -0500] "POST /ArtAuction/LoginServlet HTTP/1.1" 200 736
0:0:0:0:0:0:0:1 - - [27/Nov/2015:09:28:07 -0500] "GET /ArtAuction/MailDispatcherServlet HTTP/1.1" 200 733
0:0:0:0:0:0:0:1 - - [27/Nov/2015:09:28:07 -0500] "GET /ArtAuction/css/Custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2015:09:28:07 -0500] "GET /ArtAuction/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2015:09:28:07 -0500] "GET /ArtAuction/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2015:09:28:07 -0500] "GET /ArtAuction/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2015:09:28:11 -0500] "GET /ArtAuction/AuctionListServlet HTTP/1.1" 200 4540
0:0:0:0:0:0:0:1 - - [27/Nov/2015:09:28:11 -0500] "GET /ArtAuction/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2015:09:28:11 -0500] "GET /ArtAuction/css/heroic-features.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2015:09:28:11 -0500] "GET /ArtAuction/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2015:09:28:11 -0500] "GET /ArtAuction/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2015:09:28:11 -0500] "GET /ArtAuction/auction.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2015:09:28:26 -0500] "GET /ArtAuction/AddCreditCard.jsp HTTP/1.1" 200 6828
0:0:0:0:0:0:0:1 - - [27/Nov/2015:09:30:16 -0500] "GET /ArtAuction/auctionlist.jsp HTTP/1.1" 200 4540
0:0:0:0:0:0:0:1 - - [27/Nov/2015:09:30:19 -0500] "GET /ArtAuction/createEnglishAuction.jsp HTTP/1.1" 200 2056
0:0:0:0:0:0:0:1 - - [27/Nov/2015:09:30:19 -0500] "GET /ArtAuction/jquery.datetimepicker.css HTTP/1.1" 200 18988
0:0:0:0:0:0:0:1 - - [27/Nov/2015:09:30:19 -0500] "GET /ArtAuction/jquery.js HTTP/1.1" 200 93113
0:0:0:0:0:0:0:1 - - [27/Nov/2015:09:30:20 -0500] "GET /ArtAuction/jquery.datetimepicker.full.js HTTP/1.1" 200 98172
